passenger_id,LastName,FirstName,Other_Info,Age,Gender,Hometown,Boarded,Lifeboat,Body,Class,Survived,Passenger,Crew,crew_responsibility
1,Allen,Miss Elisabeth Walton,,29,F,,Southampton,,,1,1,1,0,
2,Allison,Mr Hudson Joshua Creighton,,30,M,,Southampton,,,1,0,1,0,
3,Allison,Mrs Bessie Waldo,,25,F,,Southampton,,,1,0,1,0,
4,Allison,Miss Helen Loraine,,2,F,,Southampton,,,1,0,1,0,
5,Allison,Master Hudson Trevor,,0.9166,M,,Southampton,,,1,1,1,0,
6,Anderson,Mr Harry,,47,M,,Southampton,,,1,1,1,0,
7,Andrews,Miss Kornelia Theodosia,,62,F,,Cherbourg,,,1,1,1,0,
8,Andrews,Mr Thomas,,39,M,,Belfast,,,1,0,1,0,
9,Appleton,Mrs Charlotte,,53,F,,Southampton,,,1,1,1,0,
10,Artagaveytia,Mr Ramon,,71,M,,Cherbourg,,,1,0,1,0,
11,Astor,Colonel John Jacob,,47,M,,Cherbourg,,,1,0,1,0,
12,Astor,Mrs Madeleine Talmage,,18,F,,Cherbourg,,,1,1,1,0,
13,Aubart,"Mme. Leontine Pauline ""Ninette""",,24,F,,Cherbourg,,,1,1,1,0,
14,Barber,Miss Ellen Mary      ,(Maid to Mrs Tyrell William Cavendish),26,F,,Southampton,,,1,1,1,0,
15,Barkworth,Mr Algernon Henry,,47,M,,Southampton,,,1,1,1,0,
16,Bassani,Mrs Albina    ,(Maid to Mrs William Robert Bucknell),32,F,,Cherbourg,,,1,1,1,0,
17,Baumann,Mr John D.,,60,M,,Cherbourg,,,1,0,1,0,
18,Baxter,Mrs Helene,,50,F,,Cherbourg,,,1,1,1,0,
19,Baxter,Mr Quigg Edmond,,24,M,,Cherbourg,,,1,0,1,0,
20,Beattie,Mr Thomson,,36,F,,Southampton,,,1,0,1,0,
21,Beckwith,Mr Richard Leonard,,37,M,,Southampton,,,1,1,1,0,
22,Beckwith,Mrs Sallie,,46,F,,Southampton,,,1,1,1,0,
23,Behr,Mr Karl Howell,,26,M,,Cherbourg,,,1,1,1,0,
24,Bessette,Miss Nellie Mayo      ,(Maid to Mrs Ella Holmes White),39,F,,Cherbourg,,,1,1,1,0,
25,Bidois,Miss Rosalie    ,(Maid to Mrs John Jacob Astor),46,F,,Cherbourg,,,1,1,1,0,
26,Bird,Miss Ellen    ,(Maid to Mr & Mrs Isodor Straus),31,F,,Southampton,,,1,1,1,0,
27,Birnbaum,Mr Jakob,,24,M,,Cherbourg,,,1,0,1,0,
28,Bishop,Mr Dickinson H.,,25,M,,Cherbourg,,,1,1,1,0,
29,Bishop,Mrs Helen,,19,F,,Cherbourg,,,1,1,1,0,
30,Bjornstrom-Steffansson,Mr Mauritz Hokan,,28,M,,Southampton,,,1,1,1,0,
31,Blackwell,Mr Stephen Weart,,45,M,,Southampton,,,1,0,1,0,
32,Blank,Mr Henry,,39,M,,Cherbourg,,,1,1,1,0,
33,Bonnell,Miss Caroline,,30,F,,Southampton,,,1,1,1,0,
34,Bonnell,Miss Elizabeth,,61,F,,Southampton,,,1,1,1,0,
35,Borebank,Mr John James,,42,M,,Southampton,,,1,0,1,0,
36,Bowen,Miss Grace Scott    ,(Maid to Mr & Mrs Arthur Ryerson),45,F,,Cherbourg,,,1,1,1,0,
37,Bowerman,Miss Elsie Edith,,22,F,,Southampton,,,1,1,1,0,
38,Brady,Mr John Bertram,,41,M,,Southampton,,,1,0,1,0,
39,Brandeis,Mr Emil Franklin,,48,M,,Cherbourg,,,1,0,1,0,
40,Brereton,Mr George Andrew,,37,M,,Southampton,,,1,1,1,0,
41,Brewe,Dr Arthur Jackson,,45,M,,Cherbourg,,,1,0,1,0,
42,Brown,Mrs Caroline Lane,,59,F,,Southampton,,,1,1,1,0,
43,Brown,Mrs Margaret,,44,F,,Cherbourg,,,1,1,1,0,
44,Bucknell,Mrs Emma Eliza,,58,F,,Cherbourg,,,1,1,1,0,
45,Burns,Miss Elizabeth Margaret    ,(Nanny to Master Robert Douglas Spedden),41,F,,Cherbourg,,,1,1,1,0,
46,Butt,Major Archibald Willingham,,46,M,,Southampton,,,1,0,1,0,
47,Cairns,Mr Alexander Milne    ,(Manservant to Mr William Ernest Carter),28,M,,Southampton,,,1,0,1,0,
48,Calderhead,Mr Edward Pennington,,42,M,,Southampton,,,1,1,1,0,
49,Candee,Mrs Helen Churchill,,52,F,,Cherbourg,,,1,1,1,0,
50,Cardeza,Mrs Charlotte Wardle,,58,F,,Cherbourg,,,1,1,1,0,
51,Cardeza,Mr Thomas Drake Martinez,,36,M,,Cherbourg,,,1,1,1,0,
52,Carlsson,Mr Frans Olof,,33,M,,Southampton,,,1,0,1,0,
53,Carrae-Esteves,Mr Jose Pedro,,17,M,,Southampton,,,1,0,1,0,
54,Carrau,Mr Francisco Mauro Severiano,,27,M,,Southampton,,,1,0,1,0,
55,Carter,Mr William Ernest,,36,M,,Southampton,,,1,1,1,0,
56,Carter,Mrs Lucile,,36,F,,Southampton,,,1,1,1,0,
57,Carter,Miss Lucile Polk,,13,F,,Southampton,,,1,1,1,0,
58,Carter,Master William Thornton II,,11,M,,Southampton,,,1,1,1,0,
59,Case,Mr Howard Brown,,49,M,,Southampton,,,1,0,1,0,
60,Cassebeer,Mrs Eleanor Genevieve,,36,F,,Cherbourg,,,1,1,1,0,
61,Cavendish,Mr Tyrell William,,36,M,,Southampton,,,1,0,1,0,
62,Cavendish,Mrs Julia Florence,,25,F,,Southampton,,,1,1,1,0,
63,Chaffee,Mr Herbert Fuller,,46,M,,Southampton,,,1,0,1,0,
64,Chaffee,Mrs Carrie Constance,,47,F,,Southampton,,,1,1,1,0,
65,Chambers,Mr Norman Campbell,,27,M,,Southampton,,,1,1,1,0,
66,Chambers,Mrs Bertha,,32,F,,Southampton,,,1,1,1,0,
67,Chaudanson,Miss Victorine    ,(Maid to Mrs Emily Ryerson),36,F,,Cherbourg,,,1,1,1,0,
68,Cherry,Miss Gladys,,30,F,,Southampton,,,1,1,1,0,
69,Chevre,Mr Paul Romaine Marie Leonce,,45,M,,Cherbourg,,,1,1,1,0,
70,Chibnall,Mrs Edith Martha Bowerman,,48,F,,Southampton,,,1,1,1,0,
71,Chisholm,Mr Roderick Robert Crispin,,43,M,,Belfast,,,1,0,1,0,
72,Clark,Mr Walter Miller,,27,M,,Cherbourg,,,1,0,1,0,
73,Clark,Mrs Virginia Estelle,,26,F,,Cherbourg,,,1,1,1,0,
74,Cleaver,Miss Alice Catherine    ,(Nanny to Master Hudson Trevor Allison),22,F,,Southampton,,,1,1,1,0,
75,Clifford,Mr George Quincy,,40,M,,Southampton,,,1,0,1,0,
76,Colley,Mr Edward Pomeroy,,37,M,,Southampton,,,1,0,1,0,
77,Compton,Mrs Mary Eliza,,64,F,,Cherbourg,,,1,1,1,0,
78,Compton,Miss Sara Rebecca,,39,F,,Cherbourg,,,1,1,1,0,
79,Compton,Mr Alexander Taylor Jr,,37,M,,Cherbourg,,,1,0,1,0,
80,Cornell,Mrs Malvina Helen,,55,F,,Southampton,,,1,1,1,0,
81,Crafton,Mr John Bertram,,59,M,,Southampton,,,1,0,1,0,
82,Crosby,Captain Edward Gifford,,70,M,,Southampton,,,1,0,1,0,
83,Crosby,Mrs Catherine Elizabeth,,64,F,,Southampton,,,1,1,1,0,
84,Crosby,Miss Harriette Rebecca,,39,F,,Southampton,,,1,1,1,0,
85,Cumings,Mr John Bradley,,39,M,,Cherbourg,,,1,0,1,0,
86,Cumings,Mrs Florence Briggs,,35,F,,Cherbourg,,,1,1,1,0,
87,Daly,Mr Peter Dennis,,51,M,,Southampton,,,1,0,1,0,
88,Daniel,Mr Robert Williams,,27,M,,Southampton,,,1,1,1,0,
89,Daniels,Miss Sarah Rebecca    ,(Maid to Mr & Mrs Allison),33,F,,Southampton,,,1,1,1,0,
90,Davidson,Mr Thornton,,31,M,,Cherbourg,,,1,0,1,0,
91,Davidson,Mrs Orian,,27,F,,Cherbourg,,,1,1,1,0,
92,Dick,Mr Albert Adrian,,31,M,,Southampton,,,1,1,1,0,
93,Dick,Mrs Vera,,17,F,,Southampton,,,1,1,1,0,
94,Dodge,Dr Washington,,52,M,,Southampton,,,1,1,1,0,
95,Dodge,Mrs Ruth,,34,F,,Southampton,,,1,1,1,0,
96,Dodge,Master Washington,,4,M,,Southampton,,,1,1,1,0,
97,Douglas,Mr Walter Donald,,50,M,,Cherbourg,,,1,0,1,0,
98,Douglas,Mrs Mahala,,48,F,,Cherbourg,,,1,1,1,0,
99,Douglas,Mrs Mary Helene,,27,F,,Cherbourg,,,1,1,1,0,
100,Duff Gordon,Sir Cosmo Edmund,,49,M,,Cherbourg,,,1,1,1,0,
101,Duff Gordon,"Lucy Christiana, Lady",,48,M,,Cherbourg,,,1,1,1,0,
102,Dulles,Mr William Crothers,,39,M,,Cherbourg,,,1,0,1,0,
103,Earnshaw,Mrs Olive,,23,F,,Cherbourg,,,1,1,1,0,
104,Endres,Miss Caroline Louise    ,(Nurse to Mrs Madeleine Astor),39,F,,Cherbourg,,,1,1,1,0,
105,Eustis,Miss Elizabeth Mussey,,54,F,,Cherbourg,,,1,1,1,0,
106,Evans,Miss Edith Corse,,36,F,,Cherbourg,,,1,0,1,0,
107,Farthing,Mr John    ,(Manservant to Mr & Mrs Straus),57,M,,Southampton,,,1,0,1,0,
108,Flegenheim,Mrs Antoinette,,48,F,,Cherbourg,,,1,1,1,0,
109,Fleming,Miss Margaret    ,(Maid to Mr & Mrs Thayer),42,F,,Cherbourg,,,1,1,1,0,
110,Flynn,Mr John Irwin,,36,M,,Southampton,,,1,1,1,0,
111,Foreman,Mr Benjamin Laventall,,30,M,,Southampton,,,1,0,1,0,
112,Fortune,Mr Mark,,64,M,,Southampton,,,1,0,1,0,
113,Fortune,Mrs Mary,,60,F,,Southampton,,,1,1,1,0,
114,Fortune,Miss Ethel Flora,,28,F,,Southampton,,,1,1,1,0,
115,Fortune,Miss Alice Elizabeth,,24,F,,Southampton,,,1,1,1,0,
116,Fortune,Miss Mabel Helen,,23,F,,Southampton,,,1,1,1,0,
117,Fortune,Mr Charles Alexander,,19,M,,Southampton,,,1,0,1,0,
118,Francatelli,Miss Laura Mabel    ,(Secretary to Lady Duff-Gordon),31,F,,Cherbourg,,,1,1,1,0,
119,Franklin,Mr Thomas Parnham,,37,M,,Southampton,,,1,0,1,0,
120,Frauenthal,Mr Isaac Gerald,,43,M,,Cherbourg,,,1,1,1,0,
121,Frauenthal,Dr Henry William,,49,M,,Southampton,,,1,1,1,0,
122,Frauenthal,Mrs Clara,,42,F,,Southampton,,,1,1,1,0,
123,Frolicher,Miss Hedwig Margaritha,,22,F,,Cherbourg,,,1,1,1,0,
124,Frolicher-Stehli,Mr Maximilian Josef,,60,M,,Cherbourg,,,1,1,1,0,
125,Frolicher-Stehli,Mrs Margaretha Emerentia,,48,F,,Cherbourg,,,1,1,1,0,
126,Fry,Mr Richard    ,(Valet to Mr Joseph Bruce Ismay),39,M,,Southampton,,,1,0,1,0,
127,Futrelle,Mr Jacques Heath,,37,M,,Southampton,,,1,0,1,0,
128,Futrelle,Mrs Lily May,,35,F,,Southampton,,,1,1,1,0,
129,Gee,Mr Arthur H.,,47,M,,Southampton,,,1,0,1,0,
130,Gibson,Mrs Pauline Caroline,,44,F,,Cherbourg,,,1,1,1,0,
131,Gibson,Miss Dorothy Winifred,,22,F,,Cherbourg,,,1,1,1,0,
132,Gieger,Miss Amalie    ,(Maid to Mrs George Dunton Widener),35,F,,Southampton,,,1,1,1,0,
133,Giglio,Mr Victor Gaitan Andrea    ,(Valet to Mr Benjamin Guggenheim),23,M,,Cherbourg,,,1,0,1,0,
134,Goldenberg,Mr Samuel L.,,47,M,,Cherbourg,,,1,1,1,0,
135,Goldenberg,Mrs Nella,,40,F,,Cherbourg,,,1,1,1,0,
136,Goldschmidt,Mr George B.,,71,M,,Cherbourg,,,1,0,1,0,
137,Gracie,Colonel Archibald,,53,M,,Southampton,,,1,1,1,0,
