LastName,FirstName,Other_Info,Age,Gender,Hometown,Boarded,Lifeboat,Body,Class,Survived,Passenger,Crew,crew_responsibility
Allen,Miss Elisabeth Walton,,29,F,,Southampton,,,1,1,1,0,
Allison,Mr Hudson Joshua Creighton,,30,M,,Southampton,,,1,0,1,0,
Allison,Mrs Bessie Waldo,,25,F,,Southampton,,,1,0,1,0,
Allison,Miss Helen Loraine,,2,F,,Southampton,,,1,0,1,0,
Allison,Master Hudson Trevor,,0.9166,M,,Southampton,,,1,1,1,0,
Anderson,Mr Harry,,47,M,,Southampton,,,1,1,1,0,
Andrews,Miss Kornelia Theodosia,,62,F,,Cherbourg,,,1,1,1,0,
Andrews,Mr Thomas,,39,M,,Belfast,,,1,0,1,0,
Appleton,Mrs Charlotte,,53,F,,Southampton,,,1,1,1,0,
Artagaveytia,Mr Ramon,,71,M,,Cherbourg,,,1,0,1,0,
Astor,Colonel John Jacob,,47,M,,Cherbourg,,,1,0,1,0,
Astor,Mrs Madeleine Talmage,,18,F,,Cherbourg,,,1,1,1,0,
Aubart,"Mme. Leontine Pauline ""Ninette""",,24,F,,Cherbourg,,,1,1,1,0,
Barber,Miss Ellen Mary      ,(Maid to Mrs Tyrell William Cavendish),26,F,,Southampton,,,1,1,1,0,
Barkworth,Mr Algernon Henry,,47,M,,Southampton,,,1,1,1,0,
Bassani,Mrs Albina    ,(Maid to Mrs William Robert Bucknell),32,F,,Cherbourg,,,1,1,1,0,
Baumann,Mr John D.,,60,M,,Cherbourg,,,1,0,1,0,
Baxter,Mrs Helène,,50,F,,Cherbourg,,,1,1,1,0,
Baxter,Mr Quigg Edmond,,24,M,,Cherbourg,,,1,0,1,0,
Beattie,Mr Thomson,,36,F,,Southampton,,,1,0,1,0,
Beckwith,Mr Richard Leonard,,37,M,,Southampton,,,1,1,1,0,
Beckwith,Mrs Sallie,,46,F,,Southampton,,,1,1,1,0,
Behr,Mr Karl Howell,,26,M,,Cherbourg,,,1,1,1,0,
Bessette,Miss Nellie Mayo      ,(Maid to Mrs Ella Holmes White),39,F,,Cherbourg,,,1,1,1,0,
Bidois,Miss Rosalie    ,(Maid to Mrs John Jacob Astor),46,F,,Cherbourg,,,1,1,1,0,
Bird,Miss Ellen    ,(Maid to Mr & Mrs Isodor Straus),31,F,,Southampton,,,1,1,1,0,
Birnbaum,Mr Jakob,,24,M,,Cherbourg,,,1,0,1,0,
Bishop,Mr Dickinson H.,,25,M,,Cherbourg,,,1,1,1,0,
Bishop,Mrs Helen,,19,F,,Cherbourg,,,1,1,1,0,
Bjornstrom-Steffansson,Mr Mauritz Hokan,,28,M,,Southampton,,,1,1,1,0,
Blackwell,Mr Stephen Weart,,45,M,,Southampton,,,1,0,1,0,
Blank,Mr Henry,,39,M,,Cherbourg,,,1,1,1,0,
Bonnell,Miss Caroline,,30,F,,Southampton,,,1,1,1,0,
Bonnell,Miss Elizabeth,,61,F,,Southampton,,,1,1,1,0,
Borebank,Mr John James,,42,M,,Southampton,,,1,0,1,0,
Bowen,Miss Grace Scott    ,(Maid to Mr & Mrs Arthur Ryerson),45,F,,Cherbourg,,,1,1,1,0,
Bowerman,Miss Elsie Edith,,22,F,,Southampton,,,1,1,1,0,
Brady,Mr John Bertram,,41,M,,Southampton,,,1,0,1,0,
Brandeis,Mr Emil Franklin,,48,M,,Cherbourg,,,1,0,1,0,
Brereton,Mr George Andrew,,37,M,,Southampton,,,1,1,1,0,
Brewe,Dr Arthur Jackson,,45,M,,Cherbourg,,,1,0,1,0,
Brown,Mrs Caroline Lane,,59,F,,Southampton,,,1,1,1,0,
Brown,Mrs Margaret,,44,F,,Cherbourg,,,1,1,1,0,
Bucknell,Mrs Emma Eliza,,58,F,,Cherbourg,,,1,1,1,0,
Burns,Miss Elizabeth Margaret    ,(Nanny to Master Robert Douglas Spedden),41,F,,Cherbourg,,,1,1,1,0,
Butt,Major Archibald Willingham,,46,M,,Southampton,,,1,0,1,0,
Cairns,Mr Alexander Milne    ,(Manservant to Mr William Ernest Carter),28,M,,Southampton,,,1,0,1,0,
Calderhead,Mr Edward Pennington,,42,M,,Southampton,,,1,1,1,0,
Candee,Mrs Helen Churchill,,52,F,,Cherbourg,,,1,1,1,0,
Cardeza,Mrs Charlotte Wardle,,58,F,,Cherbourg,,,1,1,1,0,
Cardeza,Mr Thomas Drake Martinez,,36,M,,Cherbourg,,,1,1,1,0,
Carlsson,Mr Frans Olof,,33,M,,Southampton,,,1,0,1,0,
Carraú-Esteves,Mr Jose Pedro,,17,M,,Southampton,,,1,0,1,0,
Carrau,Mr Francisco Mauro Severiano,,27,M,,Southampton,,,1,0,1,0,
Carter,Mr William Ernest,,36,M,,Southampton,,,1,1,1,0,
Carter,Mrs Lucile,,36,F,,Southampton,,,1,1,1,0,
